code,system
14A1.00,readv2
100051.0,med
101539.0,med
105615.0,med
14840.0,med
20246.0,med
23619.0,med
24636.0,med
34916.0,med
36886.0,med
44756.0,med
48099.0,med
48189.0,med
5326.0,med
59942.0,med
63252.0,med
64799.0,med
68849.0,med
69995.0,med
72936.0,med
73540.0,med
764.0,med
G0...00,readv2
G01y000,readv2
Gyu0.00,readv2
M15y600,readv2
G00..00,readv2
G01..00,readv2
G020.00,readv2
G021.00,readv2
G010.00,readv2
G10..00,readv2
G102.00,readv2
G011.00,readv2
G14z.00,readv2
G012.00,readv2
G1y0.00,readv2
GA0..00,readv2
G01y.00,readv2
Gyu0000,readv2
G01yz00,readv2
G01z.00,readv2
G0z..00,readv2
G1yzz00,readv2
G02..00,readv2
G02..11,readv2
G02z.00,readv2
G0y..00,readv2
G1y..00,readv2
G1yz.00,readv2
G1yz000,readv2
G1...00,readv2
G14..00,readv2
G14z.11,readv2
G1z..00,readv2
G100.00,readv2
G1yz100,readv2
H571.00,readv2
G11..11,readv2
G110.11,readv2
G111.00,readv2
G111.11,readv2
G121.11,readv2
G140112,readv2
G14021Y,readv2
G111.12,readv2
G121.12,readv2
G140111,readv2
G14021X,readv2
G12..00,readv2
G12z.00,readv2
G140z00,readv2
Gyu1100,readv2
G120.00,readv2
G121.00,readv2
G122.00,readv2
G140100,readv2
G140200,readv2
G140000,readv2
G141.00,readv2
G141000,readv2
G141100,readv2
G141200,readv2
G141z00,readv2
GA...00,readv2
105626.0,med
107462.0,med
107591.0,med
15132.0,med
15643.0,med
16545.0,med
18100.0,med
20001.0,med
21807.0,med
21980.0,med
22262.0,med
22837.0,med
31505.0,med
32211.0,med
32435.0,med
36768.0,med
40957.0,med
42239.0,med
43347.0,med
44167.0,med
44376.0,med
50809.0,med
51879.0,med
53878.0,med
54088.0,med
57980.0,med
5927.0,med
59275.0,med
59854.0,med
60266.0,med
62186.0,med
62207.0,med
62404.0,med
63960.0,med
68126.0,med
72613.0,med
72628.0,med
7963.0,med
93113.0,med
93114.0,med
9312.0,med
9391.0,med
94521.0,med
I00,icd10
I01,icd10
I02,icd10
I05,icd10
I06,icd10
I07,icd10
I09,icd10
